Name,Part # ,JLCPCB Part #,Qty,Total Price
Buzzer,QMB-09B-03,C96256,3.0,0.3276
100nF,CC0603KRX7R9BB104,C14663,40.0,0.092
100nF,,,,
100nF,CL05B104KO5NNNC,C1525,22.0,0.0242
3.3nF,CL10B332KB8NNNC,C1613,20.0,0.102
10uF,CL10A106KP8NNNC,C19702,40.0,0.224
10uF,,,,
4n7,0603B472K500NT,C53987,20.0,0.054
22uF,CL10A226MQ8NRNC,C59461,20.0,0.172
1uF,CL10A105KB8NNNC,C15849,20.0,0.094
1uF,,,,
2u2,CL10A225KO8NNNC,C23630,20.0,0.114
100u,CL31A107MQHNNNE,C15008,6.0,0.3924
SMLVN6RGB,SMLVN6RGB1U1,C2909770,2.0,1.614
PMEG6020ER,PMEG6020ER,C2687553,16.0,0.6752
LED,KT-0603R,C2286,20.0,0.112
PRTR5V0U2X,PRTR5V0U2X,C5158049,6.0,0.237
Conn_01x02_Pin,DB301V-3.5-2P-GN-S,C695629,3.0,0.2706
Micro_SD_Card_Det1,DM3D-SF,C719027,2.0,2.028
USB_C_Receptacle_USB2.0_16P,GT-USB-7010ASV,C2988369,2.0,0.1572
Conn_02x03_Counter_Clockwise,ZX-PZ2.54-2-3PZZ,C7501274,2.0,0.0624
SLF7055T-6R8N2R8-3PF,SLF7055T-6R8N2R8-3PF,C21218,2.0,0.5478
BSS138,BSS138,C7420339,10.0,0.162
DMG2301L,DMG2301L,C7472914,6.0,0.3378
2k2,0603WAF2201T5E,C4190,40.0,0.04
2.2k,,,,
10kΩ,0402WGF1002TCE,C25744,20.0,0.01
350k,AR03FTDX3503N,C3013581,20.0,0.156
100,0603WAF1000T5E,C22775,20.0,0.02
430k,0603WAF4303T5E,C25969,20.0,0.022
100k,0603WAF1003T5E,C25803,40.0,0.04
10kΩ,0603WAF1002T5E,C25804,40.0,0.036
10k,,,,
220,0603WAF2200T5E,C22962,20.0,0.022
330,0603WAF3300T5E,C23138,20.0,0.02
5k1,0603WAF5101T5E,C23186,20.0,0.02
1.5k,0603WAF1501T5E,C22843,20.0,0.02
TPS82130,TPS82130SILR,C473914,2.0,2.541
TPS61092,TPS61092RSAR,C2878944,2.0,4.731
LTC4412xS6,LTC4412IS6#TRMPBF,C580897,2.0,5.496
ATSAMD21G18A-A,ATSAMD21G18A-AU,C78624,0.0,0
NAND,W25Q128JVSIQ,C97521,2.0,1.821
LSM6DS3,LSM6DS3TR-C,C967633,2.0,2.091
AP2112K-3.3,AP2112K-3.3TRG1,C23380830,5.0,0.4615
LPS22HB,LPS22HBTR,C94049,2.0,0.8505
PCB TOTAL AFTER TAX + SHIPPING,,,,250.98
,,,,
,,,,
Other Items,,,,
LPS22HB,LPS22HB,,2.0,Possibly Free...
DAPLINK,https://www.amazon.com/DKARDU-Replaces-downloader-Emulator-Interface/dp/B0BGQZHL75,,,8
TOTAL,,,,$259 USD
