Designator,Footprint,Quantity,Value,LCSC Part #
,,1,,
BZ2,MLT-8530_JHE,1,Buzzer,
"C1, C2, C3, C4, C5",0603,5,100nF,
"C10, C40",0603,2,10uF,
"C11, C7, C8, C9",0402,4,0.1uF,
C12,0402,1,10uF,
C14,0603,1,3.3 nF,
C17,0603,1,10u,
C28,0603,1,4n7,
C29,0603,1,100n,
C37,0603,1,22uF,
C38,0603,1,1uF,
C39,0603,1,2u2,
C46,1206,1,100u,
C47,0603,1,1u,
C6,0603,1,F1uF,
C78,0402,1,100nF,
D1,LED_ROHM_SMLVN6,1,SMLVN6RGB,
"D10, D13, D5, D6",Nexperia_CFP3_SOD-123W,4,PMEG6020ER,
"D11, D12, D2, D9",0603,4,LED,
D14,SOT-143,1,PRTR5V0U2X,
F2,0603,1,Polyfuse,
J1,"TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal",1,Screw_Terminal_01x02,
J16,PinHeader_1x02_P2.00mm_Vertical_SMD_Pin1Left,1,arming terminal,
J2,TerminalBlock_MetzConnect_Type059_RT06302HBWC_1x02_P3.50mm_Horizontal,1,Screw_Terminal_01x02,
J3,microSD_HC_Hirose_DM3D-SF,1,Micro_SD_Card_Det1,
J7,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,
J8,PinHeader_2x03_P2.54mm_Vertical,1,Conn_02x03_Counter_Clockwise,
L7,L_7.3x7.3_H4.5,1,SLF7055T-6R8N2R8-3PF,
Q1,SOT-23,1,BSS138,
Q10,SOT-23,1,DMG2301L,
Q2,SOT-23,1,IRLML6402,
R1,0603,1,2k2,
"R10, R3, R4, R7",0603,4,100k,
"R11, R2, R23",0603,3,10kΩ,
"R12, R21, R22, R25, R28, R29, R80",0603,7,10k,
"R13, R18, R19",0603,3,220,
"R14, R17",0603,2,330,
"R15, R16",0603,2,5k1,
"R20, R24, R26",0603,3,2.2k,
R27,0603,1,1.5k,
"R30, R8",0603,2,100,
R31,0603,1,1k,
R5,0402,1,10kΩ,
R6,0805,1,350k,
R9,0603,1,430k,
U1,Texas_SIL0008D_MicroSiP-8-1EP_2.8x3mm_P0.65mm_EP1.1x1.9mm_ThermalVias,1,TPS82130,
U16,SOT-23-5,1,AP2112K-3.3,
U2,Texas_RSA_VQFN-16-1EP_4x4mm_P0.65mm_EP2.7x2.7mm_ThermalVias,1,TPS61092,
U3,TSOT-23-6,1,LTC4412xS6,
U5,TQFP-48_7x7mm_P0.5mm,1,ATSAMD21G18A-A,
U6,SOIC-8_5.3x5.3mm_P1.27mm,1,NAND,
U7,ST_HLGA-10_2x2mm_P0.5mm_LayoutBorder3x2y,1,LPS22HB,
U9,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,1,LSM6DS3,
