Designator,Mid X,Mid Y,Rotation,Layer
C1,152.6307,-118.786707,90.0,top
C10,164.75,-127.0,0.0,top
C11,139.202535,-116.119008,0.0,top
C12,139.19448,-115.156223,0.0,top
C14,167.411492,-121.951267,180.0,top
C17,162.508162,-127.47568,90.0,top
C2,157.1307,-116.972383,270.0,top
C28,164.531298,-108.25,180.0,top
C29,164.525,-106.719011,180.0,top
C3,151.158866,-106.716147,90.0,top
C37,169.226138,-118.205515,90.0,top
C38,168.454087,-115.921863,180.0,top
C39,154.101533,-121.006503,0.0,top
C4,152.658866,-106.716147,90.0,top
C40,162.670174,-115.017418,180.0,top
C46,159.0,-120.598225,0.0,top
C47,156.407231,-111.704907,180.0,top
C5,157.137653,-113.957732,270.0,top
C6,146.103526,-108.940285,180.0,top
C7,144.4,-109.6,180.0,bottom
C78,140.002023,-113.670777,270.0,top
C8,147.2,-112.4,180.0,bottom
C9,144.4,-117.6,180.0,bottom
D1,144.853526,-106.119095,180.0,top
D10,163.587458,-120.55596,180.0,top
D11,156.424512,-108.744294,0.0,top
D12,164.458029,-105.174028,180.0,top
D13,157.959458,-104.813734,90.0,top
D14,164.75,-113.25,0.0,bottom
D5,160.90798,-122.926292,0.0,top
D6,164.337785,-124.000991,90.0,top
D9,166.156497,-117.903491,90.0,top
J2,165.75,-132.25,0.0,top
J3,145.6625,-128.2,180.0,top
J7,164.461249,-106.619323,180.0,bottom
J8,139.1875,-106.940285,180.0,top
L7,157.489505,-132.564825,180.0,top
Q10,163.25,-117.5,180.0,top
R10,157.068302,-122.534151,0.0,top
R11,144.103447,-125.307375,0.0,bottom
R12,149.100746,-108.960863,180.0,bottom
R13,148.9325,-104.476159,180.0,top
R14,156.40927,-110.245906,0.0,top
R15,161.5,-107.969011,0.0,top
R16,166.75,-107.219011,90.0,top
R17,162.25,-105.719011,270.0,top
R18,148.90497,-105.93528,180.0,top
R19,148.9325,-107.408166,180.0,top
R2,147.074801,-125.307375,180.0,bottom
R20,151.6825,-115.814848,270.0,top
R21,154.8807,-114.536707,180.0,top
R22,141.168873,-119.734481,90.0,top
R23,144.25,-120.75,180.0,bottom
R24,151.700298,-112.84933,90.0,top
R25,151.941958,-104.464758,180.0,top
R26,150.368261,-119.491433,0.0,top
R27,150.5,-110.545939,180.0,top
R28,154.8807,-119.536707,0.0,top
R29,154.908225,-104.740063,0.0,top
R3,160.999111,-127.145058,90.0,top
R4,161.733925,-124.868489,0.0,top
R5,143.444738,-120.739203,180.0,top
R6,167.95824,-127.226637,0.0,top
R7,167.413518,-120.441079,180.0,top
R8,167.717514,-118.175927,90.0,top
R9,154.098613,-122.533518,0.0,top
U1,167.140253,-124.492122,0.0,top
U16,159.617338,-113.145873,90.0,top
U2,155.278661,-125.965007,0.0,top
U3,159.624069,-117.344225,270.0,top
U5,145.6825,-115.064848,270.0,top
U6,145.6625,-129.004715,90.0,bottom
U7,154.676661,-106.752854,0.0,top
U9,154.8807,-117.036707,90.0,top
